n.th,n.en
CONCACAF Nations League Qualifiers,CONCACAF Nations League Qualifiers
AUSTRIA BUNDESLIGA PLAYOFF,AUSTRIA BUNDESLIGA PLAYOFF
Australia Northern New South Wales State League 1,Australia Northern New South Wales State League 1
SCOTLAND PREMIERSHIP PLAYOFF,SCOTLAND PREMIERSHIP PLAYOFF
Australia Hyundai A League Playoff,Australia Hyundai A League Playoff
Czech Republic First League Playoff,Czech Republic First League Playoff
English Isthmian League Division One North Playoff,English Isthmian League Division One North Playoff
"สวีเดน 2nd ดิวิชั่น",Sweden 2nd Div
"ออสเตรีย บุนเดสลีก้า",AUSTRIA BUNDESLIGA
"อังกฤษ เนชั่นแนล ลีก นอร์ท",English National League North
"เยอรมัน เรจิโอแนล ลีก บาวาเรีย",Germany Regional League Bavaria
"ไชน่า ลีก 1",China League 1
Suruga Bank Championship (in Japan),Suruga Bank Championship (in Japan)
"เดนมาร์ก คัพ",Denmark Cup
"อังกฤษ พรีเมียร์ ลีก 2 U23 ดิวิชั่น 1",English Premier League 2 U23 Division 1
Korea National League,Korea National League
"อังกฤษ อีสเมี่ยน ลีก พรีเมียร์ ดิวิชั่น",English Isthmian League Premier Division
"สโลวีเนีย คัพ",Slovenia Cup
"โคปา อากีลา",Copa Aguila
"ฮอลแลนด์ จูปีเลอร์ ลีก",Holland Jupiler League
"นอร์เวย์ (W) คัพ",Norway Women Cup
"สเปน เทอร์คาร่า ดิวิชั่น",Spain Tercera Division
"<DE>International Friendly Women U17</DE>",International Friendly Women U17
Memorial Valentin Granatkin Tournament U18 (in Russia),Memorial Valentin Granatkin Tournament U18 (in Russia)
"กระชับมิตร สโมสร",CLUB FRIENDLY
ENGLISH COMMUNITY SHIELD,ENGLISH COMMUNITY SHIELD
"โปรตุเกส อัลลิอันซ์ คัพ",Portugal Allianz Cup
"นอร์เวย์ (W) ท็อปซีเรียน",Norway Women Toppserien
"เซอร์เบีย ซุปเปอร์ลีก้า",Serbia Superliga
"โคปา คาตาลุนย่า",Copa Catalunya
Czech Republic U21 League,Czech Republic U21 League
"กระชับมิตร ทีมชาติ U23",International Friendly U23
SPAIN SUPER CUP WINNER,SPAIN SUPER CUP WINNER
"สเปน ซูเปอร์ คัพ",SPAIN SUPER CUP
South Australia Premier League Playoff,South Australia Premier League Playoff
"โคลอมเบีย ทอร์นีโอ อกิล่า",Colombia Torneo Aguila
"เยอรมัน คัพ",GERMANY CUP
"สเปน เซกุนด้า B ดิวิชั่น",Spain Segunda B Division
"คูเวต พรีเมียร์ ลีก",Kuwait Premier League
Saudi Arabia ALJ Pro League,Saudi Arabia ALJ Pro League
"กระชับมิตร ทีมชาติ (w)",International Friendly Women
"เจแปน เจ-ลีก YBC เลเวียน คัพ",Japan J-League YBC Levain Cup
Poland Women Ekstraliga,Poland Women Ekstraliga
"อุซเบกิสถาน ซุปเปอร์ ลีก (เพลย์อ๊อฟ)",Uzbekistan Super League Playoff
"ยูฟ่า ยูโรเปี้ยน (w) U17 แชมป์เปี้ยนชิฟ (Q)",UEFA European Women's U17 Championship Qualifiers
